Time;Q_level_1;.Q_level_2;Q_level_3;Voltage_diff_1;Voltage_diff_2;Voltage_diff_3; Meter1.VLn_RMS; Meter2.VLn_RMS; Meter3.VLn_RMS
0.0835;129602.31;83645.1;-151740.72;0;0;0;475.884;498.67062;502.65805
0.084;129461.88;83773.46;-151496.39;0;0;0;475.884;498.67062;502.65805
0.0845;129359.71;83836.2;-151147.7;0;0;0;475.884;498.67062;496.66504
0.085;129356.02;83788.42;-150948.02;0;0;0;475.884;498.67062;496.66504
0.0855;129417.32;83597.38;-150724.36;0;0;0;475.884;498.67062;496.66504
0.086;129479.52;83408.83;-150632.89;0;0;0;475.884;498.67062;496.66504
0.0865;129564.445;83075.07;-150579.12;0;0;0;475.884;498.67062;496.66504
0.087;129595.766;82844.25;-150590.47;0;0;0;475.884;498.67062;496.66504
0.0875;129579.164;82529.836;-150654.98;0;0;0;475.884;498.67062;496.66504
0.088;129518.734;82358.99;-150712.4;0;0;0;475.884;498.67062;496.66504
0.0885;129351.18;82189.37;-150787.12;0;0;0;475.884;498.67062;496.66504
0.089;129194.44;82142.37;-150813.6;0;0;0;475.884;498.67062;496.66504
0.0895;128918.1;82168.85;-150801.8;0;0;0;475.884;498.67062;496.66504
0.09;128727.836;82239.82;-150753.64;0;0;0;475.884;498.67062;496.66504
0.0905;128474.164;82391.61;-150617.84;0;0;0;475.884;498.67062;496.66504
0.091;128349.36;82497.14;-150488.98;0;0;0;475.884;492.94275;496.66504
0.0915;128259.19;82617.055;-150256.23;0;0;0;475.884;492.94275;496.66504
0.092;128273.04;82649.58;-150090.56;0;0;0;475.884;492.94275;496.66504
0.0925;128403.51;82602.6;-149857.58;0;0;0;470.55035;492.94275;496.66504
0.093;128552.62;82502.33;-149729.75;0;0;0;470.55035;492.94275;496.66504
0.0935;128837.5;82256.52;-149601.56;0;0;0;470.55035;492.94275;496.66504
0.094;129043.195;82042.87;-149565.9;0;0;0;470.55035;492.94275;496.66504
0.0945;129329.15;81684.016;-149588.81;0;0;0;470.55035;492.94275;496.66504
0.095;129479.055;81445.12;-149649.88;0;0;0;470.55035;492.94275;496.66504
0.0955;129602.54;81133.61;-149791.03;0;0;0;470.55035;492.94275;496.66504
0.096;129602.35;80981.83;-149901.81;0;0;0;470.55035;492.94275;496.66504
0.0965;129470.33;80869.62;-150059.94;0;0;0;470.55035;492.94275;496.66504
0.097;129294.63;80881.5;-150140.34;0;0;0;470.55035;492.94275;496.66504
0.0975;128912.05;81028.75;-150194.53;0;0;0;470.55035;492.94275;496.66504
0.098;128609.76;81202.82;-150174.61;0;0;0;470.55035;492.94275;496.66504
0.0985;128129.69;81580.28;-150082.66;0;0;0;470.55035;492.94275;496.66504
0.099;127818.43;81884.98;-149971.19;0;0;0;470.55035;492.94275;496.66504
0.0995;127390.484;82297.16;-149709.39;0;0;0;470.55035;492.94275;496.66504
0.1;127175.34;82541.51;-149521.52;0;0;0;470.55035;492.94275;496.66504
0.1005;126979.64;82808.97;-149246;0;0;0;470.55035;492.94275;496.66504
0.101;126937.24;82895.75;-149078.19;0;0;0;470.55035;492.94275;496.66504
0.1015;126983.41;82867.72;-148863.14;0;0;0;470.55035;492.94275;491.97824
0.102;127062.21;82749.63;-148749.05;0;0;0;470.55035;492.94275;491.97824
0.1025;127199.086;82462.67;-148628.39;0;0;0;470.55035;492.94275;491.97824
0.103;127273.6;82230.12;-148584.67;0;0;0;470.55035;492.94275;491.97824
0.1035;127330.12;81873.16;-148575.17;0;0;0;470.55035;492.94275;491.97824
0.104;127322.58;81655.1;-148601.73;0;0;0;470.55035;492.94275;491.97824
0.1045;127233.58;81390.75;-148668.92;0;0;0;470.55035;492.94275;491.97824
0.105;127114.35;81269.77;-148713.66;0;0;0;470.55035;492.94275;491.97824
0.1055;126876.09;81185.4;-148751.86;0;0;0;470.55035;492.94275;491.97824
0.106;126682.24;81194.92;-148746.98;0;0;0;470.55035;492.94275;491.97824
0.1065;126373.15;81292.68;-148683.84;0;0;0;470.55035;492.94275;491.97824
0.107;126177.32;81395.59;-148600.55;0;0;0;470.55035;492.94275;491.97824
0.1075;125934.586;81564.68;-148413.67;0;0;0;470.55035;492.94275;491.97824
0.108;125827.195;81660.89;-148254.45;0;0;0;470.55035;489.46887;491.97824
0.1085;125775.49;81740.97;-147988.55;0;0;0;470.55035;489.46887;491.97824
0.109;125814.91;81735.54;-147812.92;0;0;0;470.55035;489.46887;491.97824
0.1095;125972.73;81627.77;-147585.98;0;0;0;470.55035;489.46887;491.97824
0.11;126126.83;81492.15;-147474.5;0;0;0;467.6881;489.46887;491.97824
0.1105;126391.23;81211.59;-147381.8;0;0;0;467.6881;489.46887;491.97824
0.111;126563.35;80990.96;-147371.31;0;0;0;467.6881;489.46887;491.97824
0.1115;126772.44;80648.984;-147425.64;0;0;0;467.6881;489.46887;491.97824
0.112;126856.875;80439.39;-147499.34;0;0;0;467.6881;489.46887;491.97824
0.1125;126870.73;80196.1;-147641.58;0;0;0;467.6881;489.46887;491.97824
0.113;126794.875;80102.25;-147739.56;0;0;0;467.6881;489.46887;491.97824
0.1135;126545.05;80085.81;-147858.17;0;0;0;467.6881;489.46887;491.97824
0.114;126307.41;80160.78;-147900.34;0;0;0;467.6881;489.46887;491.97824
0.1145;125857.19;80390.03;-147885.16;0;0;0;467.6881;489.46887;491.97824
0.115;125529.87;80604.5;-147815.88;0;0;0;467.6881;489.46887;491.97824
0.1155;125034.016;80978.625;-147624.03;0;0;0;467.6881;489.46887;491.97824
0.116;124725.91;81235.14;-147444.84;0;0;0;467.6881;489.46887;491.97824
0.1165;124334.68;81581.164;-147121.39;0;0;0;467.6881;489.46887;491.97824
0.117;124136.51;81759.86;-146886.5;0;0;0;467.6881;489.46887;491.97824
0.1175;123943.15;81916.27;-146538.56;0;0;0;467.6881;489.46887;491.97824
0.118;123884.695;81935.74;-146328.9;0;0;0;467.6881;489.46887;491.97824
