Time,L5.Constant Power L5_vab,L6.Constant Power L6_vab,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.IA,measurement4.Three-phase Meter4.POWER_S,measurement5.Three-phase Meter5.IA,measurement6.Three-phase Meter6.IA
0.0835,-1180.4744,-974.6467,429870.2,1055249.4,5527.004,969.3701,1067.8236,910.04913,-51.373196,113312.24,-42.388657,74.573265
0.084,-887.35944,-527.83185,419708.5,1037777.8,6292.457,969.3701,1067.8236,910.04913,-54.279873,110894.695,-46.050835,68.2434
0.0845,-573.562,-59.32173,413230.62,1027235.7,5799.6733,969.3701,1067.8236,910.04913,-55.213116,109334.47,-48.040764,59.463326
0.085,-247.94234,405.08752,404842.6,1011727.44,4160.0244,969.3701,1067.8236,910.04913,-54.13932,107118.664,-48.28615,48.547916
0.0855,80.479126,844.7559,400150.9,1001086.25,3090.6406,969.3701,1067.8236,910.04913,-51.097446,105747.11,-46.77828,35.888565
0.086,401.06656,1237.3959,393854.16,984670.3,2382.6045,969.3701,1067.8236,910.04913,-46.1989,103861.09,-43.571285,21.939653
0.0865,702.0526,1572.9839,389760.6,973750.0,2640.755,969.3701,1067.8236,910.04913,-39.621292,102709.72,-38.78224,7.202165
0.087,971.0506,1841.8049,383521.28,957956.1,3746.521,969.3701,1067.8236,910.04913,-31.604036,101106.33,-32.5851,-7.793902
0.0875,1197.0675,2037.3406,379386.1,947941.9,4613.76,969.3701,1067.8236,910.04913,-22.438484,100099.39,-25.204836,-22.511599
0.088,1371.1824,2153.9055,373446.56,933584.44,5736.626,862.8929,1067.8236,910.04913,-12.45758,98648.12,-16.909983,-36.42144
0.0885,1487.5709,2186.8933,369683.1,924300.3,6371.1704,862.8929,1067.8236,910.04913,-2.0243282,97709.65,-8.001294,-49.02381
0.089,1543.5673,2139.7407,364172.56,910569.9,7374.5806,862.8929,944.0821,910.04913,8.482031,96326.96,1.1970037,-59.866302
0.0895,1539.4022,2012.4088,360488.25,901455.25,8178.1025,862.8929,944.0821,910.04913,18.679506,95411.93,10.351259,-68.55965
0.09,1477.3346,1808.1959,354923.9,887700.56,9540.747,862.8929,944.0821,910.04913,28.19746,94031.664,19.128975,-74.79171
0.0905,1362.0109,1536.0657,351255.38,878407.25,10436.519,862.8929,944.0821,910.04913,36.6896,93097.47,27.211617,-78.33826
0.091,1199.0432,1207.9119,345882.4,864171.7,11607.932,862.8929,944.0821,910.04913,43.84766,91669.28,34.305702,-79.07204
0.0915,995.20856,838.4038,342343.94,854442.06,12286.887,862.8929,944.0821,758.14557,49.411316,90698.414,40.153458,-76.96677
0.092,759.2066,443.1568,336913.34,839470.4,13333.82,862.8929,944.0821,758.14557,53.17842,89223.734,44.542957,-72.09766
0.0925,499.52402,34.461864,333127.78,829259.2,14171.593,862.8929,944.0821,758.14557,55.012547,88239.48,47.314434,-64.639725
0.093,226.91278,-368.0961,327211.75,813674.25,15722.476,862.8929,944.0821,758.14557,54.84641,86776.72,48.367554,-54.860073
