Time,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement1.Three-phase Meter1.POWER_Q,measurement2.Three-phase Meter2.POWER_Q,measurement3.Three-phase Meter3.POWER_Q,measurement4.Three-phase Meter4.POWER_P,measurement5.Three-phase Meter5.POWER_P,measurement6.Three-phase Meter6.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_Q
0.0425,475.36127,457.42908,480.55774,-23.882774,31.367552,-0.71974415,0.40652254,0.42599514,-0.20928456,0.020253219,0.015019112,0.20070705
0.043,475.36127,457.42908,480.55774,-23.911797,31.388512,-0.72504914,0.40663224,0.42606378,-0.20558035,0.020057376,0.014813912,0.20618102
0.0435,475.36127,457.42908,480.55774,-23.93992,31.411835,-0.7301382,0.4065806,0.42595285,-0.19980164,0.019748345,0.014514224,0.21416646
0.044,475.36127,457.42908,480.55774,-23.94448,31.418655,-0.7308138,0.40640402,0.42574742,-0.19583423,0.01956261,0.014348778,0.21930796
0.0445,475.36127,457.42908,480.55774,-23.926617,31.411953,-0.7267651,0.40596324,0.42528903,-0.18977055,0.01936379,0.014194204,0.2267195
0.045,475.36127,457.42908,480.55774,-23.898254,31.395325,-0.72054756,0.40558794,0.42492345,-0.1856841,0.019304851,0.014170278,0.23146044
0.0455,475.36127,457.42908,480.55774,-23.834473,31.353308,-0.70659995,0.4049794,0.42436627,-0.17952628,0.019343657,0.01426483,0.23830172
0.046,475.36127,457.42908,480.55774,-23.7816,31.316132,-0.695133,0.40459514,0.42403752,-0.17541192,0.019455714,0.014410717,0.242713
0.0465,475.36127,457.42908,480.55774,-23.695684,31.252508,-0.67677665,0.40412912,0.4236809,-0.16921985,0.019734116,0.014728243,0.24917163
0.047,475.36127,457.42908,480.55774,-23.639784,31.208958,-0.66514295,0.40392813,0.42356485,-0.16506097,0.019973006,0.014982829,0.25341135
0.0475,475.36127,457.42908,480.55774,-23.567362,31.14903,-0.65089816,0.4038275,0.4235978,-0.15873238,0.020365745,0.01538042,0.2597317
0.048,475.36127,457.42908,480.55774,-23.531115,31.116257,-0.6445757,0.40389282,0.42375338,-0.15442017,0.020624243,0.015625505,0.26394364
0.0485,475.36127,457.42908,480.55774,-23.499945,31.082237,-0.6407412,0.4041786,0.42414817,-0.14775537,0.020944642,0.015915798,0.27027717
0.049,475.36127,457.42908,480.55774,-23.495419,31.071062,-0.6419138,0.4044593,0.42448112,-0.14315042,0.0210914,0.016036019,0.27450368
0.0495,475.36127,457.42908,480.55774,-23.510275,31.071276,-0.6483423,0.40493912,0.42500365,-0.13596714,0.021191316,0.016086971,0.28081122
0.05,475.36127,457.42908,480.55774,-23.531677,31.080862,-0.65480703,0.405249,0.42531782,-0.13099065,0.021170804,0.016035581,0.28495958
0.0505,475.36127,457.42908,480.55774,-23.57263,31.104048,-0.66576076,0.40562013,0.42566204,-0.123263314,0.021022435,0.015851747,0.29102722
0.051,475.36127,457.42908,480.55774,-23.600182,31.121553,-0.6726773,0.40576643,0.4257736,-0.11796049,0.020869726,0.015679536,0.2949264
0.0515,475.36127,457.42908,480.55774,-23.632433,31.14414,-0.68060297,0.4057865,0.4257346,-0.10983844,0.020579737,0.015393807,0.30049264
0.052,475.36127,457.61093,480.55774,-23.643217,31.15312,-0.6833581,0.40565917,0.42557138,-0.10435231,0.020385105,0.015214122,0.30398783
0.0525,476.69553,457.61093,480.55774,-23.637774,31.152624,-0.6826925,0.4052707,0.42515054,-0.09608253,0.020138474,0.015006332,0.3088879
0.053,476.69553,457.61093,480.55774,-23.618225,31.14133,-0.6788802,0.40490422,0.42478386,-0.090575665,0.020024234,0.01492965,0.3119305
0.0535,476.69553,457.61093,480.55774,-23.565794,31.107439,-0.6685065,0.4042639,0.4241758,-0.082362264,0.0199601,0.014929313,0.31619602
0.054,476.69553,457.61093,480.55774,-23.517977,31.074802,-0.65903586,0.40382108,0.4237783,-0.07692623,0.019995205,0.015009184,0.3188746
0.0545,476.69553,457.61093,480.55774,-23.434895,31.015554,-0.64237005,0.4032243,0.42327204,-0.06881931,0.02016337,0.015237335,0.3227145
0.055,476.69553,457.61093,480.55774,-23.37785,30.972986,-0.63072026,0.40291303,0.42303306,-0.06342399,0.02033949,0.015444743,0.32519484
0.0555,476.69553,457.61093,480.55774,-23.299755,30.911158,-0.614697,0.4026284,0.4228662,-0.055292986,0.020664956,0.015796684,0.3288516
0.056,476.69553,457.61093,481.2535,-23.257465,30.874744,-0.6062763,0.4025783,0.4228915,-0.049809832,0.020895753,0.016029749,0.33126712
0.0565,476.69553,457.61093,481.2535,-23.214481,30.832287,-0.5987062,0.40270114,0.42311713,-0.04142633,0.021213366,0.016327048,0.33486745
0.057,476.69553,457.61093,481.2535,-23.201393,30.814316,-0.5974958,0.4028925,0.42336512,-0.035698358,0.021378923,0.016464839,0.33724093
0.0575,476.69553,457.61093,481.2535,-23.210443,30.810022,-0.60151696,0.40218234,0.42263055,-0.026665257,0.021407446,0.01646921,0.33936343
0.058,476.69553,457.61093,481.2535,-23.234602,30.818039,-0.6079557,0.3981661,0.4183448,-0.019842912,0.021077123,0.016191807,0.33634084
0.0585,476.69553,457.61093,481.2535,-23.279871,30.837324,-0.620157,0.3926769,0.41246027,-0.009120579,0.020556226,0.01573339,0.33230728
0.059,476.69553,457.61093,481.2535,-23.316277,30.857903,-0.62906957,0.38931212,0.4088356,-0.001656554,0.020167433,0.015388347,0.3298652
0.0595,476.69553,457.61093,481.2535,-23.36942,30.892494,-0.64172673,0.38459516,0.40373978,0.009908885,0.01955144,0.014843421,0.32642144
0.06,476.69553,457.61093,481.2535,-23.397821,30.91331,-0.648653,0.38162172,0.40052667,0.017800735,0.01913993,0.014484585,0.32420066
0.0605,476.69553,457.61093,481.2535,-23.421648,30.934013,-0.655225,0.37736607,0.39594263,0.029803276,0.01856137,0.013993129,0.32089236
0.061,476.69553,457.61093,481.2535,-23.42197,30.937653,-0.6564237,0.37465405,0.39303866,0.037862804,0.018223908,0.013717769,0.31867063
0.0615,476.69553,457.61093,481.2535,-23.397463,30.924902,-0.6530223,0.3707852,0.3889286,0.04997743,0.017821947,0.013409575,0.3152901
