Time, Grid forming inverter (averaged).Controller.P1, Grid forming inverter (averaged)2.Controller.P1, Grid forming inverter (averaged)3.Controller.P1, Grid forming inverter (averaged).Controller.f1, Grid forming inverter (averaged)2.Controller.f1, Grid forming inverter (averaged)3.Controller.f1, measurement4.Three-phase Meter4.POWER_P, measurement5.Three-phase Meter5.POWER_P, measurement6.Three-phase Meter6.POWER_P, Timer
19.5, 2.1278207302093506, 0.0, 0.0, 60.01859664916992, 59.99510192871094, 60.21608352661133, 0.009397469460964203, 0.009489270858466625, 0.009359264746308327, 19.55579948425293
19.75, 2.975792169570923, 0.0, 0.0, 60.01781463623047, 59.99510192871094, 60.01090621948242, 0.0008469461463391781, 0.0009755115024745464, 0.0008422713144682348, 19.80459976196289
20.0, 2.07612681388855, 0.0, 0.0, 60.0179443359375, 59.99510192871094, 60.01090621948242, -0.010043298825621605, -0.009965608827769756, -0.010002193972468376, 20.054000854492188
20.25, 1.4147231578826904, 0.0, 0.0, 60.018550872802734, 59.99510192871094, 60.01058578491211, 0.00030559871811419725, 0.0003637096378952265, 0.00031283768475987017, 20.30500030517578
20.5, 2.0321860313415527, 0.0, 0.0, 60.01859664916992, 59.99510192871094, 60.1859245300293, 0.00950939767062664, 0.009606949053704739, 0.009473823942244053, 20.55459976196289
20.75, 3.1418497562408447, 0.0, 0.0, 60.0178108215332, 59.99510192871094, 60.01090621948242, 0.0005405187257565558, 0.0006616875762119889, 0.0005368581041693687, 20.805400848388672
21.0, 2.072328567504883, 0.0, 0.0, 60.0179443359375, 59.99510192871094, 60.01090621948242, -0.010182336904108524, -0.010106434114277363, -0.01014078687876463, 21.05340003967285
21.25, 1.40916907787323, 0.0, 0.0, 60.018550872802734, 59.99510192871094, 60.01058578491211, 0.0002731572021730244, 0.00033217741292901337, 0.000280690670479089, 21.30459976196289
21.5, 2.206949234008789, 0.0, 0.0, 60.01859664916992, 59.99510192871094, 60.01058578491211, 0.009303463622927666, 0.00938661489635706, 0.009269481524825096, 21.555999755859375
21.75, 5.605780601501465, -2.081913948059082, 0.0, 60.01705551147461, 59.99568176269531, 60.01090621948242, -0.00763954920694232, -0.005221097264438868, -0.008071520365774632, 21.80340003967285
