Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_P,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_P,measurement6.Three-phase Meter6.POWER_Q
0.058,133673.7,106387.44,142083.38,591.5967,834.52997,829.48663,35.46664,6.4400587,36.86522,4.619257,11.886361,7.2711987
0.0585,116394.94,88203.14,126298.445,591.5967,834.52997,829.48663,33.62904,5.078107,34.859238,3.8023248,11.74452,4.5602903
0.059,104582.34,75967.37,115477.54,591.5967,834.52997,829.48663,32.394085,4.103255,33.50636,3.2014318,11.50295,2.7880354
0.0595,86725.82,57725.67,98901.68,591.5967,834.52997,829.48663,30.55453,2.5741253,31.468039,2.227556,10.950248,0.20891038
0.06,74848.9,45710.285,87697.07,591.5967,834.52997,829.48663,29.351711,1.5229667,30.112703,1.5350834,10.468628,-1.4403161
0.0605,57175.938,27911.393,70788.63,591.5967,834.52997,829.48663,27.61361,-0.08998311,28.106213,0.43809274,9.603132,-3.809787
0.061,45486.67,16175.192,59499.32,591.5967,834.52997,829.48663,26.509731,-1.1885005,26.8001,-0.33085874,8.94032,-5.3173385
0.0615,28031.951,-1278.9043,42542.77,591.5967,834.52997,829.48663,24.95212,-2.8705785,24.912153,-1.5444095,7.828638,-7.4709845
0.062,16406.861,-12825.538,31174.277,591.5967,834.52997,829.48663,23.986666,-4.019273,23.711573,-2.3972497,7.0128016,-8.836283
0.0625,-1083.7162,-30034.602,13909.763,591.5967,401.16943,829.48663,22.655546,-5.7868814,22.010723,-3.7504282,5.682253,-10.7814
0.063,-12802.81,-41459.51,2204.8735,591.5967,401.16943,829.48663,21.850012,-6.9984207,20.947546,-4.706412,4.725817,-12.008593
0.0635,-30498.688,-58565.535,-15676.063,591.5967,401.16943,829.48663,20.767906,-8.875516,19.46,-6.2271194,3.1821616,-13.747009
0.064,-42388.49,-69969.96,-27790.871,591.5967,401.16943,829.48663,20.130022,-10.16926,18.538149,-7.2993655,2.0762691,-14.835895
0.0645,-60342.938,-87071.836,-46182.098,591.5967,401.16943,829.48663,19.291098,-12.176977,17.256563,-8.992036,0.3065289,-16.353788
0.065,-72351.98,-98426.2,-58538.684,591.5967,401.16943,829.48663,18.80575,-13.557948,16.467646,-10.174145,-0.9517346,-17.277122
0.0655,-90300.47,-115262.15,-77144.93,591.5967,401.16943,829.48663,18.178093,-15.686048,15.378275,-12.022445,-2.9436264,-18.520079
0.066,-102131.63,-126259.59,-89556.4,591.5967,401.16943,829.48663,17.821693,-17.134438,14.711487,-13.300655,-4.336765,-19.238886
0.0665,-119526.086,-142253.33,-108087.18,591.5967,401.16943,351.36926,17.375982,-19.33534,13.795048,-15.277343,-6.5039372,-20.14187
0.067,-130813.84,-152498.92,-120301.766,591.5967,401.16943,351.36926,17.133434,-20.81126,13.238371,-16.626925,-7.990902,-20.619894
0.0675,-147178.06,-167144.77,-138242.8,591.5967,401.16943,351.36926,16.852743,-23.021557,12.482574,-18.684332,-10.259181,-21.147005
0.068,-157655.92,-176389.31,-149849.42,591.5967,401.16943,351.36926,16.71912,-24.48433,12.031598,-20.068653,-11.784562,-21.368364
0.0685,-172629.19,-189439.8,-166591.12,591.5967,401.16943,351.36926,16.600721,-26.64671,11.436356,-22.14779,-14.070724,-21.508018
0.069,-182064.25,-197570.47,-177253.86,591.5967,401.16943,351.36926,16.57492,-28.059137,11.094225,-23.525322,-15.584256,-21.47551
0.0695,-195327.12,-208868.19,-192433.95,591.5967,401.16943,351.36926,16.618654,-30.11873,10.667606,-25.561968,-17.810661,-21.23946
0.07,-203550.08,-215770.38,-201978.17,591.5967,401.16943,351.36926,16.70366,-31.445387,10.444445,-26.890385,-19.261316,-20.96612
0.0705,-214927.7,-225142.27,-215368.19,591.5967,401.16943,351.36926,16.919413,-33.350525,10.209447,-28.825094,-21.357145,-20.393917
0.071,-221862.34,-230720.27,-223642.83,591.5967,401.16943,351.36926,17.124954,-34.557808,10.124162,-30.06837,-22.699202,-19.912222
0.0715,-231261.44,-238072.8,-235028.39,591.5967,401.16943,351.36926,17.530087,-36.26453,10.113173,-31.852474,-24.614513,-19.05904
0.072,-236840.23,-242295.2,-241920.22,591.5967,401.16943,351.36926,17.869478,-37.326706,10.190419,-32.983612,-25.823524,-18.41452
0.0725,-244152.06,-247597.19,-251224.42,591.5967,401.16943,351.36926,18.48929,-38.802094,10.444015,-34.59044,-27.534285,-17.345741
0.073,-248325.84,-250438.83,-256765.86,591.5967,401.16943,351.36926,18.98048,-39.704838,10.709836,-35.60318,-28.605892,-16.580976
0.0735,-253561.67,-253674.73,-264160.06,591.5967,401.16943,351.36926,19.842085,-40.937847,11.260381,-37.037563,-30.115086,-15.361507
0.074,-256404.64,-255172.22,-268525.8,591.5967,401.16943,351.36926,20.502699,-41.681877,11.730533,-37.941452,-31.061625,-14.5106
0.0745,-259760.14,-256508.81,-274311.8,591.5967,401.16943,351.36926,21.626137,-42.69039,12.588756,-39.228844,-32.402813,-13.1768465
0.075,-261440.4,-256852.1,-277707.47,402.96512,401.16943,351.36926,22.459616,-43.300007,13.258607,-40.047363,-33.250637,-12.252068
0.0755,-263219.72,-256652.81,-282176.28,402.96512,401.16943,351.36926,23.832895,-44.130787,14.396254,-41.224464,-34.45756,-10.799695
0.076,-263966.34,-256096.7,-284767.0,402.96512,401.16943,351.36926,24.821186,-44.637455,15.232864,-41.97895,-35.219822,-9.781674
0.0765,-264505.7,-254700.67,-288089.4,402.96512,401.16943,351.36926,26.393625,-45.337822,16.585762,-43.06757,-36.295555,-8.172217
0.077,-264505.47,-253418.92,-289920.16,402.96512,401.16943,351.36926,27.4884,-45.7696,17.540363,-43.76329,-36.955124,-7.037869
0.0775,-263972.25,-250989.7,-292039.6,402.96512,401.16943,351.36926,29.174608,-46.364643,19.031218,-44.75639,-37.85043,-5.2378483
0.078,-263241.03,-249023.81,-292990.47,402.96512,401.16943,351.36926,30.31253,-46.724693,20.052238,-45.37848,-38.369194,-3.9763052
0.0785,-261514.56,-245509.39,-293628.2,402.96512,401.16943,351.36926,32.019222,-47.198654,21.607712,-46.237812,-39.008945,-1.9958774
0.079,-259894.66,-242748.47,-293469.56,402.96512,401.16943,351.36926,33.143543,-47.46492,22.653902,-46.753006,-39.332283,-0.6293493
0.0795,-256670.1,-237898.6,-292272.4,402.96512,401.16943,351.36926,34.796707,-47.77221,24.229368,-47.42535,-39.650578,1.4678125
0.08,-253941.97,-234149.58,-290803.16,402.96512,401.16943,351.36926,35.872402,-47.90695,25.281586,-47.800232,-39.7476,2.8809602
0.0805,-248931.86,-227701.67,-287579.47,402.96512,565.01996,351.36926,37.443027,-47.993107,26.861233,-48.242878,-39.722267,5.0048227
0.081,-244974.97,-222844.7,-284761.47,402.96512,565.01996,351.36926,38.461746,-47.96626,27.915432,-48.45631,-39.59583,6.410445
0.0815,-238148.89,-214752.44,-279588.1,402.96512,565.01996,351.36926,39.953316,-47.799248,29.49916,-48.654118,-39.251335,8.4869375
0.082,-233050.3,-208866.45,-275562.03,402.96512,565.01996,351.36926,40.924652,-47.604916,30.554672,-48.708275,-38.924572,9.8430805
0.0825,-224692.34,-199431.2,-268773.66,402.96512,565.01996,351.36926,42.35181,-47.195953,32.132694,-48.679382,-38.305225,11.831704
0.083,-218724.53,-192828.75,-263823.22,402.96512,565.01996,351.36926,43.281677,-46.85381,33.177116,-48.591118,-37.804317,13.125189
0.0835,-209329.67,-182621.77,-255876.9,402.96512,565.01996,351.36926,44.639645,-46.248116,34.72171,-48.3633,-36.931324,15.018042
0.084,-202860.86,-175701.75,-250285.39,402.96512,565.01996,351.36926,45.51233,-45.791187,35.729053,-48.15183,-36.262966,16.247074
0.0845,-192977.19,-165280.22,-241521.78,402.96512,565.01996,628.67365,46.760883,-45.040783,37.190716,-47.749172,-35.12805,18.032492
0.085,-186315.44,-158359.47,-235449.9,402.96512,565.01996,628.67365,47.541706,-44.49933,38.12236,-47.424034,-34.279377,19.177057
0.0855,-176251.27,-148072.69,-226005.95,402.96512,565.01996,628.67365,48.6162,-43.632004,39.441242,-46.848534,-32.86866,20.80399
0.086,-169497.33,-141282.8,-219476.22,402.96512,565.01996,628.67365,49.258923,-43.0155,40.261623,-46.4032,-31.83711,21.822075
0.0865,-159251.64,-131172.92,-209294.98,402.96512,565.01996,628.67365,50.102535,-42.026432,41.397495,-45.63785,-30.165808,23.219044
0.087,-152324.34,-124451.52,-202231.89,402.96512,565.01996,628.67365,50.5789,-41.31906,42.089787,-45.059807,-28.975054,24.057934
0.0875,-141731.03,-114328.83,-191215.14,402.96512,565.01996,628.67365,51.164505,-40.178967,43.03104,-44.086235,-27.10153,25.15777
0.088,-134510.17,-107525.4,-183597.5,402.96512,565.01996,628.67365,51.47108,-39.36289,43.596237,-43.366188,-25.806023,25.782955
0.0885,-123430.21,-97223.02,-171804.14,402.96512,565.01996,628.67365,51.815063,-38.05316,44.356274,-42.18445,-23.82181,26.555798
0.089,-115898.586,-90298.984,-163736.34,402.96512,565.01996,628.67365,51.97454,-37.125378,44.80751,-41.33399,-22.483604,26.966604
0.0895,-104468.81,-79895.28,-151425.69,402.96512,565.01996,628.67365,52.120346,-35.66404,45.405724,-39.975365,-20.462032,27.435612
0.09,-96831.195,-73007.39,-143153.53,402.96512,565.01996,628.67365,52.161247,-34.650375,45.753845,-39.02256,-19.115915,27.659405
0.0905,-85496.12,-62881.09,-130784.78,402.96512,565.01996,628.67365,52.14721,-33.089775,46.19998,-37.53984,-17.094791,27.863674
0.091,-78109.93,-56352.766,-122648.305,402.96512,565.01996,628.67365,52.086876,-32.036896,46.444405,-36.525887,-15.748607,27.922407
0.0915,-67441.625,-47044.83,-110734.305,402.96512,565.01996,628.67365,51.91967,-30.45777,46.72337,-34.98282,-13.729436,27.891184
