Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_P,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_P,measurement6.Three-phase Meter6.POWER_Q
0.0315,46531.18,62732.71,-36149.066,438.55035,443.00146,443.8427,50.31511,1.0607051,50.604267,0.08240909,0.23876518,0.0017514197
0.032,46433.008,62614.76,-36058.16,438.55035,443.00146,443.8427,50.264835,1.0376345,50.534634,0.08078965,0.23842849,0.0016540693
0.0325,46468.746,62615.37,-35861.67,436.7334,443.00146,443.8427,50.226845,1.0342872,50.48796,0.09558801,0.23818159,0.0016243391
0.033,46670.535,62735.652,-35399.062,436.7334,443.00146,443.8427,50.1711,1.0480986,50.42707,0.13791907,0.23782483,0.0016339449
0.0335,46891.312,62884.926,-35013.848,436.7334,443.00146,443.8427,50.139927,1.0681171,50.39692,0.1770745,0.23762257,0.0016726158
0.034,47309.973,63183.527,-34406.062,436.7334,443.00146,443.8427,50.10575,1.1119564,50.37267,0.24545746,0.23740864,0.0017654774
0.0345,47616.254,63406.215,-34033.156,436.7334,443.00146,443.8427,50.094498,1.145702,50.372032,0.29256395,0.23733932,0.0018395056
0.035,48049.48,63730.195,-33599.047,436.7334,443.00146,443.8427,50.09588,1.1964085,50.392857,0.35557002,0.23735029,0.0019467254
0.0355,48286.555,63913.145,-33428.63,436.7334,443.00146,443.8427,50.108757,1.2247392,50.41925,0.38797122,0.23742883,0.002003985
0.036,48510.48,64096.273,-33383.6,436.7334,443.00146,443.8427,50.140846,1.2545723,50.4718,0.41588488,0.2376267,0.0020493497
0.0365,48553.68,64142.63,-33490.285,436.7334,443.00146,443.8427,50.1684,1.2619133,50.509098,0.4184639,0.23778838,0.0020460442
0.037,48456.055,64087.76,-33823.14,436.7334,443.00146,443.8427,50.20868,1.2535142,50.55813,0.39886597,0.2380338,0.0019860205
0.0375,48293.754,63973.656,-34127.03,436.7334,443.00146,443.8427,50.231453,1.2361546,50.581184,0.37286207,0.23817177,0.001911197
0.038,47943.145,63714.1,-34633.332,436.7334,443.00146,443.8427,50.25334,1.1952721,50.594658,0.32191226,0.2382982,0.0017592916
0.0385,47677.605,63503.566,-34959.414,436.7334,443.00146,443.8427,50.256992,1.1622751,50.58819,0.2852269,0.23831317,0.0016417657
0.039,47292.066,63178.28,-35348.426,436.7334,443.00146,443.8427,50.244514,1.1119496,50.556152,0.2349233,0.23821941,0.0014614593
0.0395,47080.164,62982.152,-35503.105,436.7334,443.00146,443.8427,50.22371,1.0807486,50.52182,0.20971918,0.23808438,0.0013512454
0.04,46874.4,62758.723,-35539.32,436.7334,443.00146,441.57153,50.17897,1.0455431,50.457123,0.1913119,0.2377964,0.0012182664
0.0405,46830.793,62676.324,-35426.457,436.7334,443.00146,441.57153,50.14287,1.0321451,50.410263,0.19400732,0.23756802,0.0011596003
0.041,46917.582,62667.582,-35070.54,436.7334,443.00146,441.57153,50.086388,1.0305991,50.343876,0.22054681,0.23721491,0.0011237133
0.0415,47070.965,62735.54,-34738.32,436.7334,443.00146,441.57153,50.051613,1.0410264,50.307487,0.25196728,0.23699813,0.0011341737
0.042,47417.062,62924.645,-34165.855,436.7334,443.00146,441.57153,50.01004,1.0721029,50.271526,0.31195095,0.23674247,0.0011925612
0.0425,47696.22,63089.23,-33781.69,436.7334,443.00146,441.57153,49.992584,1.0997196,50.262154,0.35542542,0.23663583,0.0012507517
0.043,48131.965,63353.395,-33280.637,436.7334,443.00146,441.57153,49.984352,1.1454983,50.27054,0.4175893,0.2365914,0.0013491254
0.0435,48392.918,63511.07,-33040.016,436.7334,443.00146,441.57153,49.991028,1.1747043,50.289715,0.45221478,0.23663716,0.001407832
0.044,48684.73,63679.902,-32870.293,436.7334,441.2707,441.57153,50.01771,1.2072811,50.333675,0.48687488,0.23680322,0.0014660521
0.0445,48781.34,63729.25,-32896.965,436.7334,441.2707,441.57153,50.04208,1.2182815,50.36861,0.4957629,0.23696123,0.0014756244
0.045,48774.492,63691.56,-33137.47,436.7334,441.2707,441.57153,50.08447,1.2185622,50.421635,0.48617703,0.23722364,0.0014370844
0.0455,48667.523,63592.383,-33408.05,436.7334,441.2707,441.57153,50.111874,1.205093,50.451378,0.46528703,0.23738915,0.0013762128
0.046,48370.992,63345.043,-33919.516,436.7334,441.2707,441.57153,50.14434,1.1685253,50.47931,0.41725305,0.2375828,0.0012375023
0.0465,48106.066,63129.906,-34290.27,436.7334,441.2707,441.57153,50.157043,1.1346617,50.483597,0.37802356,0.23765478,0.0011191618
0.047,47679.45,62777.086,-34801.29,436.7334,441.2707,441.57153,50.158245,1.0773947,50.465977,0.31830633,0.23765178,0.0009245325
0.0475,47410.28,62550.41,-35063.605,436.7334,441.2707,441.57153,50.14662,1.0400518,50.43914,0.28356716,0.23757093,0.0007966724
0.048,47099.19,62272.355,-35280.43,436.7334,441.2707,441.57153,50.110962,0.9915248,50.38075,0.24786523,0.23734282,0.00063073984
0.0485,46979.33,62150.992,-35286.03,436.7334,441.2707,441.57153,50.07811,0.96848834,50.33413,0.23841658,0.23713626,0.0005478959
0.049,46959.758,62089.06,-35082.7,436.7334,441.2707,441.57153,50.020607,0.95323014,50.261852,0.24855456,0.23678355,0.00047669862
0.0495,47053.95,62132.7,-34824.797,434.92508,441.2707,441.57153,49.9817,0.9562499,50.217636,0.2716955,0.2365482,0.00046703714
0.05,47335.926,62314.36,-34306.785,434.92508,441.2707,441.57153,49.93023,0.9803513,50.166275,0.32590637,0.23624091,0.00050503097
0.0505,47594.19,62496.65,-33918.8,434.92508,441.2707,441.57153,49.904095,1.0059295,50.145966,0.37114114,0.23609023,0.000558396
0.051,48033.082,62818.344,-33356.3,434.92508,441.2707,441.57153,49.88244,1.0538044,50.139652,0.44282216,0.23597275,0.0006617182
0.0515,48321.535,63038.11,-33043.816,434.92508,441.2707,441.57153,49.88095,1.0859715,50.150555,0.4864467,0.23597266,0.0007333992
0.052,48696.676,63326.22,-32736.172,434.92508,441.2707,441.57153,49.897305,1.130213,50.186066,0.53803414,0.23608546,0.0008238412
0.0525,48872.176,63465.883,-32665.486,434.92508,441.2707,441.57153,49.918808,1.1519983,50.21893,0.559449,0.23622222,0.0008607228
0.053,48984.793,63565.547,-32774.33,434.92508,441.2707,441.57153,49.961155,1.1680909,50.274338,0.5683756,0.23648383,0.00086707197
0.0535,48942.47,63548.215,-32976.36,434.92508,441.2707,441.57153,49.99104,1.1657969,50.309685,0.558517,0.2366699,0.00083420373
0.054,48736.74,63409.51,-33420.21,434.92508,441.2707,441.57153,50.04029,1.143389,50.35206,0.5227102,0.23529473,0.0007364477
